10.000000	0.000
20.000000	0.000
100.068542	0.001
100.793686	0.005
101.524078	0.010
102.259766	0.016
103.000778	0.022
103.747162	0.028
104.498962	0.035
105.256203	0.043
106.018929	0.050
106.787186	0.059
107.561012	0.067
108.340446	0.076
109.125526	0.086
109.916290	0.095
110.712791	0.105
111.515060	0.115
112.323143	0.126
113.137085	0.137
113.956924	0.147
114.782700	0.159
115.614464	0.170
116.452255	0.182
117.296112	0.193
118.146095	0.205
119.002228	0.217
119.864563	0.229
120.733154	0.241
121.608040	0.253
122.489258	0.266
123.376869	0.278
124.270905	0.290
125.171425	0.301
126.078468	0.310
126.992081	0.319
127.912323	0.328
128.839233	0.337
129.772842	0.346
130.713242	0.355
131.660431	0.364
132.614502	0.372
133.575485	0.381
134.543427	0.390
135.518387	0.399
136.500412	0.407
137.489548	0.416
138.485855	0.425
139.489380	0.433
140.500168	0.442
141.518295	0.451
142.543793	0.460
143.576721	0.468
144.617142	0.477
145.665100	0.486
146.720642	0.494
147.783844	0.503
148.854752	0.512
149.933411	0.521
151.019897	0.529
152.114243	0.538
153.216522	0.547
154.326797	0.556
155.445114	0.565
156.571533	0.573
157.706116	0.582
158.848923	0.591
160.000000	0.600
161.159424	0.609
162.327255	0.619
163.503540	0.628
164.688354	0.638
165.881760	0.647
167.083801	0.657
168.294571	0.666
169.514099	0.676
170.742462	0.686
171.979736	0.695
173.225967	0.705
174.481232	0.715
175.745605	0.724
177.019119	0.734
178.301880	0.744
179.593933	0.753
180.895340	0.763
182.206177	0.773
183.526520	0.783
184.856430	0.793
186.195984	0.802
187.545227	0.812
188.904266	0.822
190.273132	0.832
191.651932	0.842
193.040726	0.852
194.439575	0.861
195.848572	0.871
197.267761	0.881
198.697250	0.891
200.137085	0.901
201.587372	0.911
203.048157	0.922
204.519531	0.932
206.001556	0.942
207.494324	0.952
208.997925	0.963
210.512405	0.973
212.037857	0.983
213.574371	0.993
215.122025	1.003
216.680893	1.013
218.251053	1.023
219.832581	1.033
221.425583	1.043
223.030121	1.053
224.646286	1.063
226.274170	1.073
227.913849	1.083
229.565399	1.092
231.228928	1.102
232.904510	1.111
234.592224	1.121
236.292191	1.130
238.004456	1.139
